3,15,568
3,16,613
3,17,654
3,18,684
3,19,718
3,20,737
3,21,778
3,22,789
3,23,860
3,24,961
3,25,907
3,26,861
3,27,829
3,28,843
3,29,825
3,30,766
3,31,781
4,1,776
4,2,800
4,3,823
4,4,870
4,5,815
4,6,789
4,7,847
4,8,986
4,9,1140
4,10,1130
4,11,1010
4,12,940
4,13,1060
4,14,1120
4,15,1150
4,16,1160
4,17,1190
4,18,1210
4,19,1290
4,20,1310
4,21,1280
4,22,1180
4,23,1120
4,24,1150
4,25,1200
4,26,1210
4,27,1160
4,28,1170
4,29,1200
4,30,1210
5,1,1190
5,2,1170
5,3,1170
5,4,1150
5,5,1170
5,6,1260
5,7,1360
5,8,1530
5,9,1740
5,10,1890
5,11,2060
5,12,2380
5,13,2410
5,14,2440
5,15,2380
5,16,2330
5,17,2240
5,18,2100
5,19,2040
5,20,1950
5,21,1820
5,22,1740
5,23,1750
5,24,1700
5,25,1690
5,26,1820
5,27,1900
5,28,1860
5,29,1800
5,30,1710
5,31,1790
6,1,1920
6,2,2020
6,3,2010
6,4,2180
6,5,2230
6,6,2510
6,7,2910
6,8,5270
6,9,5280
6,10,5050
6,11,4590
6,12,4450
6,13,4050
6,14,3650
6,15,3400
6,16,3340
6,17,3330
6,18,3480
6,19,3500
6,20,3430
6,21,3540
6,22,3920
6,23,4200
6,24,4050
6,25,3580
6,26,2950
6,27,2520
6,28,2280
6,29,2110
6,30,2320
7,1,2090
7,2,1840
7,3,1810
7,4,1870
7,5,1800
7,6,1820
7,7,1890
7,8,1860
7,9,1800
7,10,1680
7,11,1670
7,12,1740
7,13,2000
7,14,1980
7,15,1860
7,16,1690
7,17,1540
7,18,1450
7,19,1350
7,20,1280
7,21,1270
7,22,1320
7,23,1380
7,24,1360
7,25,1220
7,26,1140
7,27,1240
7,28,1240
7,29,1220
7,30,1210
7,31,1190
8,1,1190
8,2,1160
8,3,1100
8,4,1080
8,5,1090
8,6,1110
8,7,1070
8,8,1080
8,9,1170
8,10,1210
8,11,1350
8,12,1340
8,13,1390
8,14,1360
8,15,1350
8,16,1360
8,17,1330
8,18,1290
8,19,1290
8,20,1260
8,21,1210
8,22,1180
8,23,1160
8,24,1260
8,25,1430
8,26,1410
8,27,1460
8,28,1450
8,29,1430
8,30,1420
8,31,1400
9,1,1410
9,2,1430
9,3,1450
9,4,1440
9,5,1440
9,6,1430
9,7,1400
9,8,1390
9,9,1440
9,10,1420
9,11,1440
9,12,1430
9,13,1410
9,14,1400
9,15,1380
9,16,1350
9,17,1350
9,18,1350
9,19,1340
9,20,1270
9,21,1240
9,22,1240
9,23,1240
9,24,1280
9,25,1270
9,26,1280
9,27,1340
9,28,1330
9,29,1340
9,30,1380
10,1,1420
10,2,1490
10,3,1420
10,4,1410
10,5,1520
10,6,1520
10,7,1490
10,8,1440
10,9,1330
10,10,1200
10,11,1180
10,12,1160
10,13,1190
10,14,1200
10,15,1210
10,16,1220
10,17,1190
10,18,1210
10,19,1240
10,20,1250
10,21,1200
10,22,1170
10,23,1170
10,24,1160
10,25,1130
10,26,1070
10,27,1020
10,28,961
10,29,895
10,30,831
10,31,751
11,1,708
11,2,675
11,3,663
11,4,634
11,5,640
11,6,655
11,7,668
11,8,670
11,9,651
11,10,648
11,11,632
11,12,633
11,13,625
11,14,607
11,15,585
11,16,515
11,17,496
11,18,485
11,19,446
11,20,448
11,21,518
11,22,540
11,23,532
11,24,514
11,25,483
11,26,453
11,27,482
11,28,528
11,29,528
11,30,489
12,1,478
12,2,471
12,3,446
12,4,436
12,5,440
12,6,420
12,7,393
12,8,344
12,9,371
12,10,455
12,11,465
12,12,452
12,13,457
12,14,469
12,15,491
12,16,508
12,17,497
12,18,439
12,19,407
12,20,434
12,21,510
